Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"in my trump era shirt",87,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,755448,16.67,49,844.34,14,4.60,1,72,,119,6,"Jun, 2025",0,357,8.41
"pants 0 poop 1 shirt",285,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,845046,16.97,12,214.65,0,-1.00,1,11,,75,-11,"Jul, 2025",0,96,-1.00
"not like us t shirt",97,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1060998,16.99,13,207.98,6,4.72,1,112,,-89,6,"May, 2025",2,10000,3.90
"feeling great again trump shirt",182,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1202770,19.07,37,773.05,8,4.79,1,129,,0,-39,"Jun, 2025",0,352,19.40
"sasquatch 4th of july shirt",226,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1066390,18.05,59,1066.95,15,4.55,1,196,-23,0,-13,"Jun, 2025",1,832,5.68
"fourth of july weiner shirt",103,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1097987,17.24,269,4323.29,14,4.52,1,413,-8,0,0,"Jun, 2025",0,715,31.14
"do math not magic shirt",170,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1420288,15.79,18,302.19,8,4.70,1,0,,0,0,"Jul, 2025",1,225,4.43
"4th of july nursing shirt",155,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,999251,17.68,162,2717.33,14,4.69,1,232,-55,0,0,"Jun, 2025",3,2000,34.57
"hot dog real bad shirt",194,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",12,763060,16.3,553,8426.77,18,4.43,2,561,-18,0,-5,"Jul, 2025",2,760,54.12
"donald trump fist pump shirt",68,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1229846,16.95,15,250.8,0,-1.00,1,0,,588,-4,"Dec, 2024",1,235,-1.00
"creed take me higher shirt",111,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1070715,17.99,31,534.97,5,4.64,1,98,,0,-14,"Sep, 2024",1,661,10.50
"big ellie ny liberty shirt",196,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,221491,19.99,83,1657.38,3,4.60,1,0,,-35,4,"May, 2025",0,47,27.64
"trump in cowboy hat shirt",186,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1217148,17.57,29,497.9,5,4.48,1,55,,0,-24,"Nov, 2024",2,950,20.03
"wait i'm goated cat shirt",304,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1468335,17.59,12,225.28,6,4.90,1,0,,0,16,"Dec, 2024",0,117,4.51
